unix_time,latitude_deg,longitude_deg,altitude_m,fix_quality,hdop
1770009485.2020295,42.318263333333334,-71.05767666666667,27.0,2,0.93
1770009486.2137969,42.318263333333334,-71.05767666666667,27.0,2,0.93
1770009487.2145717,42.318263333333334,-71.05767666666667,27.0,2,0.93
1770009488.2085648,42.318265000000004,-71.05767833333333,27.0,2,0.93
1770009489.2167923,42.318263333333334,-71.05767666666667,27.0,2,0.88
1770009490.2094831,42.318265000000004,-71.05767666666667,27.0,2,0.88
1770009491.2093234,42.318265000000004,-71.05767666666667,27.0,2,0.88
1770009492.2027516,42.318265000000004,-71.057675,27.0,2,0.93
1770009493.2027698,42.318265000000004,-71.057675,27.0,2,0.93
1770009494.2020106,42.318265000000004,-71.05767666666667,27.0,2,0.93
1770009495.2050042,42.318265000000004,-71.05767833333333,27.0,2,0.93
1770009496.202923,42.318263333333334,-71.05767833333333,27.0,2,0.93
1770009497.207952,42.318263333333334,-71.05768166666667,27.0,2,0.88
1770009498.2026749,42.318263333333334,-71.05767999999999,27.0,2,0.88
1770009499.2103245,42.318263333333334,-71.05768166666667,27.0,2,0.88
1770009500.209907,42.318263333333334,-71.05767999999999,27.0,2,0.88
1770009501.2166574,42.318261666666665,-71.05767999999999,27.0,2,0.88
1770009502.2077897,42.318261666666665,-71.05767999999999,27.0,2,0.88
1770009503.2030168,42.318261666666665,-71.05767999999999,27.0,2,0.88
1770009504.2098377,42.318261666666665,-71.05767833333333,27.0,2,0.88
1770009505.20976,42.318263333333334,-71.05767833333333,27.0,2,0.88
1770009506.2047796,42.318265000000004,-71.05767999999999,26.9,2,0.88
1770009507.205573,42.31826666666666,-71.05767833333333,27.0,2,0.88
1770009508.2077878,42.318265000000004,-71.05767999999999,27.0,2,0.88
1770009509.2149088,42.31826666666666,-71.05767833333333,27.0,2,0.88
1770009510.2107527,42.318265000000004,-71.05767999999999,26.9,2,0.88
1770009511.21586,42.31826666666666,-71.05767999999999,26.9,2,0.88
1770009512.203377,42.31826833333333,-71.05767833333333,26.9,2,0.88
1770009513.209928,42.31827,-71.05767999999999,26.9,2,0.88
1770009514.2031958,42.31827,-71.05768166666667,26.9,2,0.88
1770009515.2025588,42.31827,-71.05768333333334,26.9,2,0.88
1770009516.2026427,42.31827166666667,-71.05768333333334,26.9,2,0.88
1770009517.2088149,42.31827333333334,-71.05768333333334,26.9,2,0.88
1770009518.2036228,42.31827499999999,-71.05768166666667,26.9,2,0.88
1770009519.2107604,42.31827499999999,-71.05768333333334,26.9,2,0.88
1770009520.2081854,42.31827499999999,-71.05768166666667,26.9,2,0.88
1770009521.2030118,42.31827833333333,-71.05768166666667,26.9,2,0.88
1770009522.2078233,42.31828,-71.05768166666667,26.9,2,0.88
1770009523.2040899,42.31828,-71.05767999999999,26.9,2,0.88
1770009524.208265,42.318283333333326,-71.05767999999999,26.9,2,0.88
1770009525.2120676,42.318283333333326,-71.05767999999999,26.9,2,0.88
1770009526.214734,42.31828166666666,-71.05767999999999,26.9,2,0.88
1770009527.2095652,42.31828166666666,-71.05767999999999,26.9,2,0.88
1770009528.210394,42.31828,-71.05768166666667,26.9,2,0.88
1770009529.2167954,42.31828166666666,-71.05767833333333,26.9,2,0.88
1770009530.2087178,42.31828,-71.05767999999999,26.9,2,0.93
1770009531.2045314,42.31828,-71.05767999999999,26.9,2,0.88
1770009532.2144723,42.31827833333333,-71.05767833333333,26.9,2,0.88
1770009533.2036352,42.31827833333333,-71.05767666666667,26.9,2,0.88
1770009534.2079206,42.31827833333333,-71.057675,26.9,2,0.88
1770009535.2047021,42.31828,-71.05767666666667,26.9,2,0.88
1770009536.2038012,42.31828,-71.05767666666667,26.9,2,0.88
1770009537.216898,42.31828166666666,-71.05767666666667,26.9,2,0.88
1770009538.2095246,42.31828166666666,-71.057675,26.9,2,0.88
1770009539.207946,42.318283333333326,-71.05767833333333,26.9,2,0.88
1770009540.210381,42.318283333333326,-71.057675,26.9,2,0.88
1770009541.2168105,42.318283333333326,-71.05767666666667,26.9,2,0.88
1770009542.2149596,42.31828166666666,-71.05767666666667,26.8,2,0.88
1770009543.2169313,42.318283333333326,-71.05767833333333,26.8,2,0.88
1770009544.202881,42.318284999999996,-71.05767999999999,26.8,2,0.88
1770009545.2148583,42.31828666666667,-71.05768166666667,26.9,2,0.88
1770009546.2100754,42.31828666666667,-71.05767999999999,26.9,2,0.88
1770009547.214896,42.31828666666667,-71.05767999999999,26.9,2,0.88
1770009548.202694,42.31828666666667,-71.05768333333334,26.9,2,0.88
1770009549.213549,42.31828666666667,-71.057685,26.8,2,0.88
1770009550.2148697,42.31828833333334,-71.057685,26.8,2,0.88
1770009551.2095835,42.31829,-71.057685,26.8,2,0.88
1770009552.2027717,42.31829333333334,-71.05768166666667,26.8,2,0.88
1770009553.2141495,42.31829166666667,-71.05768333333334,26.8,2,1.17
1770009554.208778,42.318295000000006,-71.05767999999999,26.8,2,1.16
1770009555.2164743,42.318295000000006,-71.05768166666667,26.8,2,1.17
1770009556.209173,42.318295000000006,-71.05767999999999,26.8,2,1.17
1770009557.202716,42.318295000000006,-71.05767999999999,26.8,2,1.17
1770009558.2085674,42.31829666666666,-71.05767833333333,26.8,2,1.17
1770009559.2095802,42.31829666666666,-71.05767833333333,26.8,2,1.17
1770009560.2085712,42.31829666666666,-71.05767666666667,26.8,2,1.17
1770009561.2047908,42.31829666666666,-71.057675,26.8,2,1.17
1770009562.2139688,42.31829666666666,-71.05767333333333,26.8,2,1.17
1770009563.2076242,42.31829666666666,-71.05767166666666,26.8,2,1.17
1770009564.2138221,42.31829333333334,-71.05767166666666,26.8,2,1.17
1770009565.2039464,42.318295000000006,-71.05767,26.8,2,1.17
1770009566.207782,42.318295000000006,-71.05767,26.8,2,1.17
1770009567.2116227,42.31829333333334,-71.05767,26.8,2,1.17
1770009568.2075763,42.31829333333334,-71.05767,26.8,2,1.17
1770009569.2108939,42.31829,-71.05767,26.8,2,1.17
1770009570.2028048,42.31829,-71.05767166666666,26.8,2,1.17
1770009571.2037356,42.31828833333334,-71.05767333333333,26.8,2,1.17
1770009572.2075799,42.31829,-71.05767333333333,26.8,2,1.17
1770009573.2113295,42.31828833333334,-71.05767166666666,26.8,2,1.17
1770009574.2136393,42.31828666666667,-71.05767166666666,26.8,2,1.17
1770009575.2084389,42.318284999999996,-71.05767166666666,26.8,2,1.17
1770009576.2136345,42.31828666666667,-71.05767166666666,26.8,2,1.17
1770009577.2101824,42.318284999999996,-71.05767166666666,26.8,2,1.17
1770009578.2081354,42.31828666666667,-71.057675,26.8,2,1.17
1770009579.2104926,42.31828666666667,-71.05767666666667,26.8,2,1.17
1770009580.2079377,42.318284999999996,-71.05767833333333,26.8,2,1.17
1770009581.207956,42.318284999999996,-71.05768166666667,26.8,2,1.17
1770009582.2086906,42.31828166666666,-71.05768333333334,26.8,2,1.17
1770009583.209478,42.31828,-71.057685,26.8,2,1.17
1770009584.2134042,42.31828,-71.05768666666667,26.8,2,1.17
1770009585.2157974,42.31828,-71.05768666666667,26.8,2,1.17
1770009586.213334,42.31828,-71.057685,26.8,2,1.17
1770009587.2132359,42.31827666666666,-71.05768666666667,26.8,2,1.17
1770009588.2131143,42.31827666666666,-71.057685,26.8,2,1.17
1770009589.2105024,42.31827833333333,-71.05768833333333,26.8,2,1.17
1770009590.2133727,42.31828,-71.05769333333333,26.8,2,1.17
1770009591.2101274,42.31828,-71.05769833333333,26.8,2,1.17
1770009592.2100832,42.31827833333333,-71.05770166666666,26.8,2,1.17
1770009593.2134252,42.31828,-71.05770000000001,26.8,2,1.17
1770009594.208291,42.31827833333333,-71.05770333333334,26.8,2,1.17
1770009595.2147965,42.31827833333333,-71.05770333333334,26.8,2,1.17
1770009596.2083845,42.31827833333333,-71.05770333333334,26.8,2,1.17
1770009597.2157254,42.31827833333333,-71.057705,26.8,2,1.17
1770009598.2090583,42.31828,-71.057705,26.8,2,1.17
1770009599.2080977,42.31827833333333,-71.05770666666668,26.8,2,1.17
1770009600.2081323,42.31827666666666,-71.05770666666668,26.8,2,1.17
1770009601.2091792,42.31827499999999,-71.05770666666668,26.8,2,1.17
1770009602.2080584,42.31827499999999,-71.05770833333332,26.8,2,1.17
1770009603.2106094,42.31827333333334,-71.05770666666668,26.8,2,1.17
1770009604.2086072,42.31827499999999,-71.05770833333332,26.8,2,1.17
1770009605.2139015,42.31827333333334,-71.05770833333332,26.8,2,1.17
1770009606.2094603,42.31827,-71.05770666666668,26.8,2,1.17
1770009607.2143521,42.31827,-71.05770666666668,26.8,2,1.17
1770009608.213571,42.31826833333333,-71.05770666666668,26.8,2,1.17
1770009609.2156038,42.31826833333333,-71.05770833333332,26.8,2,1.17
1770009610.209125,42.31826666666666,-71.05771166666666,26.8,2,1.17
1770009611.2093973,42.318265000000004,-71.05771333333334,26.8,2,1.17
1770009612.2088423,42.31826666666666,-71.057715,26.8,2,1.17
1770009613.2142015,42.318263333333334,-71.057715,26.8,2,1.17
1770009614.2091532,42.318265000000004,-71.05771666666666,26.8,2,1.17
1770009615.2153604,42.318265000000004,-71.057715,26.8,2,1.17
1770009616.208577,42.318265000000004,-71.05771333333334,26.8,2,1.17
1770009617.2134645,42.31826666666666,-71.05771166666666,26.8,2,1.17
1770009618.2091007,42.318265000000004,-71.05771166666666,26.8,2,1.17
1770009619.2145329,42.31826666666666,-71.05771,26.8,2,1.17
1770009620.2077448,42.31826666666666,-71.05770666666668,26.8,2,1.17
1770009621.2046387,42.31826666666666,-71.05771,26.8,2,1.17
1770009622.2080505,42.31826666666666,-71.05770666666668,26.8,2,1.17
1770009623.2068698,42.31826666666666,-71.057705,26.8,2,1.17
1770009624.209158,42.31826666666666,-71.05770333333334,26.8,2,1.17
1770009625.2033584,42.31826666666666,-71.05770166666666,26.8,2,1.17
1770009626.2074752,42.31826666666666,-71.05770000000001,26.8,2,1.17
1770009627.2048333,42.318265000000004,-71.05770000000001,26.8,2,1.17
1770009628.2074685,42.318263333333334,-71.05770000000001,26.7,2,1.17
1770009629.2024,42.318261666666665,-71.05770166666666,26.7,2,1.17
1770009630.207144,42.318259999999995,-71.05770333333334,26.7,2,1.17
1770009631.208015,42.31825833333334,-71.057705,26.7,2,1.17
1770009632.2030432,42.31825833333334,-71.05770333333334,26.7,2,1.17
1770009633.2042062,42.31825666666667,-71.05770666666668,26.7,2,1.17
1770009634.2075675,42.318255,-71.05770833333332,26.7,2,1.17
1770009635.2032592,42.318255,-71.05771,26.7,2,1.17
1770009636.2015104,42.31825333333333,-71.05771,26.7,2,1.17
1770009637.2020347,42.31825333333333,-71.05771,26.7,2,1.17
1770009638.2069,42.31825166666666,-71.05771,26.7,2,1.17
1770009639.204859,42.318250000000006,-71.05771,26.7,2,1.17
1770009640.206997,42.318250000000006,-71.05770833333332,26.7,2,1.17
1770009641.2070544,42.318250000000006,-71.05770833333332,26.7,2,1.17
1770009642.2025409,42.31825166666666,-71.05770833333332,26.7,2,1.17
1770009643.2080848,42.31824833333334,-71.05770833333332,26.7,2,1.17
1770009644.2025325,42.318250000000006,-71.05770833333332,26.7,2,1.17
1770009645.2090888,42.318250000000006,-71.05770833333332,26.7,2,1.17
1770009646.2024238,42.318250000000006,-71.05770833333332,26.7,2,1.17
1770009647.2072585,42.318250000000006,-71.05770666666668,26.7,2,1.17
1770009648.2016969,42.318250000000006,-71.05770333333334,26.7,2,1.17
1770009649.2085266,42.31825166666666,-71.05770166666666,26.7,2,1.17
1770009650.2019167,42.31825333333333,-71.05769833333333,26.7,2,1.17
1770009651.2091887,42.31825666666667,-71.057695,26.7,2,1.17
1770009652.2070973,42.31825833333334,-71.057695,26.7,2,1.17
1770009653.2024162,42.318259999999995,-71.05769333333333,26.7,2,1.17
1770009654.2021947,42.318259999999995,-71.05769333333333,26.7,2,1.17
1770009655.2084305,42.318261666666665,-71.05769166666667,26.7,2,1.17
1770009656.2022116,42.318263333333334,-71.05769000000001,26.7,2,1.17
1770009657.2037556,42.318265000000004,-71.05769000000001,26.7,2,1.17
1770009658.2075377,42.31826666666666,-71.05769000000001,26.7,2,1.17
1770009659.212585,42.31827,-71.05768833333333,26.7,2,1.17
1770009660.2076404,42.31827166666667,-71.05768833333333,26.7,2,1.17
1770009661.2136815,42.31827499999999,-71.05768833333333,26.7,2,1.17
1770009662.2129853,42.31827666666666,-71.05768666666667,26.7,2,1.17
1770009663.2102954,42.31828,-71.057685,26.7,2,1.17
1770009664.2078743,42.31828,-71.05768666666667,26.7,2,1.17
1770009665.2086263,42.31828166666666,-71.057685,26.7,2,1.17
1770009666.2080214,42.318283333333326,-71.05768333333334,26.7,2,1.17
1770009667.2089937,42.31828166666666,-71.05768333333334,26.7,2,1.17
1770009668.2063324,42.31828166666666,-71.05768333333334,26.7,2,1.17
1770009669.2097294,42.318283333333326,-71.057685,26.7,2,1.17
1770009670.2136374,42.318284999999996,-71.057685,26.7,2,1.17
1770009671.2081115,42.31828666666667,-71.05768333333334,26.7,2,1.17
1770009672.2135184,42.318284999999996,-71.05768333333334,26.7,2,1.17
1770009673.2078173,42.31828666666667,-71.05768166666667,26.7,2,1.17
1770009674.2020185,42.31828833333334,-71.05767999999999,26.7,2,1.17
1770009675.2038743,42.31829,-71.05767666666667,26.6,2,1.17
1770009676.20234,42.31829,-71.05767666666667,26.6,2,1.17
1770009677.2067223,42.31828833333334,-71.05767666666667,26.6,2,1.17
1770009678.2091856,42.31828833333334,-71.057675,26.6,2,1.17
1770009679.2091599,42.31828666666667,-71.05767833333333,26.6,2,1.17
1770009680.2128315,42.31828666666667,-71.05768166666667,26.6,2,1.17
1770009681.2091458,42.318284999999996,-71.05768666666667,26.6,2,1.17
1770009682.212648,42.318283333333326,-71.05769666666667,26.6,2,1.17
1770009683.212526,42.318283333333326,-71.05769833333333,26.6,2,1.17
1770009684.200835,42.318283333333326,-71.05769666666667,26.6,2,1.17
1770009685.2021248,42.318283333333326,-71.05769666666667,26.6,2,1.17
1770009686.207894,42.31828,-71.057695,26.6,2,1.17
1770009687.2033463,42.31828,-71.057695,26.6,2,1.17
1770009688.2080479,42.318283333333326,-71.05769166666667,26.6,2,1.17
1770009689.2080407,42.31828833333334,-71.05768833333333,26.6,2,1.17
1770009690.212914,42.31829,-71.05768333333334,26.7,2,1.17
1770009691.2076702,42.31828833333334,-71.05768166666667,26.7,2,1.17
1770009692.20169,42.31828833333334,-71.05767833333333,26.7,2,1.17
1770009693.2093847,42.31828833333334,-71.057675,26.7,2,1.17
1770009694.2069182,42.31828666666667,-71.057675,26.6,2,1.17
1770009695.207059,42.31828833333334,-71.05767333333333,26.6,2,1.17
1770009696.202423,42.31828666666667,-71.05767333333333,26.6,2,1.17
1770009697.2018807,42.31828833333334,-71.05767333333333,26.6,2,1.17
1770009698.21291,42.31829,-71.057675,26.6,2,1.17
1770009699.2039514,42.31828833333334,-71.05767666666667,26.6,2,1.17
1770009700.201063,42.31828833333334,-71.05767666666667,26.6,2,1.17
1770009701.2064981,42.31828833333334,-71.05767833333333,26.6,2,1.17
1770009702.2014449,42.31829,-71.05767666666667,26.6,2,1.17
1770009703.207112,42.318295000000006,-71.05767666666667,26.6,2,1.17
1770009704.2135804,42.31829166666667,-71.05767666666667,26.6,2,1.17
1770009705.2097666,42.31829666666666,-71.057675,26.6,2,1.17
1770009706.2076516,42.31829833333333,-71.057675,26.6,2,1.17
1770009707.2081869,42.31829666666666,-71.05767333333333,26.6,2,1.17
1770009708.2080853,42.318295000000006,-71.05767333333333,26.6,2,1.17
1770009709.2025452,42.31829333333334,-71.057675,26.6,2,1.17
1770009710.2008271,42.31829166666667,-71.057675,26.6,2,1.17
1770009711.214921,42.31829166666667,-71.05767333333333,26.6,2,1.17
1770009712.2086232,42.31829333333334,-71.05767166666666,26.6,2,1.17
1770009713.2128341,42.318295000000006,-71.05767,26.6,2,1.17
1770009714.2076318,42.31829666666666,-71.05766833333334,26.6,2,1.17
1770009715.214553,42.318295000000006,-71.05767,26.6,2,1.17
1770009716.208429,42.31829833333333,-71.05766833333334,26.6,2,1.17
1770009717.2154946,42.31829833333333,-71.05766833333334,26.6,2,1.17
1770009718.2084637,42.31829833333333,-71.05766666666666,26.7,2,1.17
1770009719.2080433,42.31829833333333,-71.05766666666666,26.7,2,1.17
1770009720.213353,42.3183,-71.057665,26.8,2,1.17
1770009721.215539,42.31830166666667,-71.057665,26.8,2,1.17
1770009722.2020707,42.31830166666667,-71.057665,26.8,2,1.17
1770009723.2108347,42.31830333333334,-71.05766666666666,26.8,2,1.17
1770009724.2084472,42.31830333333334,-71.05766666666666,26.8,2,1.17
1770009725.213127,42.318304999999995,-71.05766666666666,26.8,2,1.17
1770009726.2126634,42.31830333333334,-71.05766666666666,26.8,2,1.17
1770009727.2141602,42.3183,-71.057665,26.8,2,1.17
1770009728.20762,42.31829666666666,-71.05766333333332,26.8,2,1.17
1770009729.214688,42.31829666666666,-71.05766,26.8,2,1.17
1770009730.2018344,42.31829666666666,-71.05765833333334,26.8,2,1.17
1770009731.2015388,42.31829666666666,-71.05765833333334,26.8,2,1.17
1770009732.206476,42.31829833333333,-71.05766166666668,26.8,2,1.17
1770009733.2030811,42.31829833333333,-71.05766,26.8,2,1.17
1770009734.20656,42.31829833333333,-71.05766333333332,26.8,2,1.17
1770009735.2041113,42.31829666666666,-71.05766333333332,26.8,2,1.17
1770009736.2065897,42.31829333333334,-71.057665,26.8,2,1.17
1770009737.2008526,42.31829,-71.05766833333334,26.8,2,1.17
1770009738.2065344,42.31829,-71.05766666666666,26.8,2,1.17
1770009739.2023642,42.31829,-71.05766333333332,26.8,2,1.17
1770009740.20197,42.31829,-71.05766,26.8,2,1.17
1770009741.2086027,42.31829333333334,-71.05765833333334,26.8,2,1.17
1770009742.201216,42.318295000000006,-71.05765666666666,26.8,2,1.17
1770009743.2011065,42.31829833333333,-71.05765333333333,26.8,2,1.17
1770009744.2016952,42.31830166666667,-71.05765166666667,26.7,2,1.17
1770009745.2037303,42.3183,-71.05765166666667,26.7,2,1.17
1770009746.2128766,42.31830333333334,-71.05765,26.8,2,1.17
1770009747.2148333,42.31830333333334,-71.05765,26.8,2,1.17
1770009748.2082472,42.318304999999995,-71.05765,26.8,2,1.17
1770009749.2126913,42.318308333333334,-71.05765166666667,26.8,2,1.17
1770009750.212869,42.31831166666666,-71.05765,26.8,2,1.17
1770009751.2146435,42.31831333333333,-71.05765,26.8,2,1.17
1770009752.2082634,42.31831666666667,-71.05764833333333,26.8,2,1.17
1770009753.2107704,42.31831999999999,-71.05764666666667,26.8,2,1.17
1770009754.2127006,42.31832333333333,-71.05764500000001,26.7,2,1.17
1770009755.2127938,42.31832333333333,-71.05764500000001,26.7,2,1.17
1770009756.2075417,42.318325,-71.05764333333333,26.7,2,1.17
1770009757.213589,42.31832666666666,-71.05764166666667,26.7,2,1.17
1770009758.20767,42.318328333333326,-71.05764,26.7,2,1.17
1770009759.2148867,42.318329999999996,-71.05763833333334,26.7,2,1.17
1770009760.2076027,42.318329999999996,-71.05763833333334,26.7,2,1.17
1770009761.208446,42.31833166666667,-71.05763666666667,26.7,2,1.17
1770009762.2125065,42.31833166666667,-71.05763333333333,26.7,2,1.17
1770009763.2085323,42.318335,-71.05763166666667,26.7,2,1.17
1770009764.2087052,42.318335,-71.05763,26.7,2,1.17
1770009765.2099335,42.31833666666667,-71.05763,26.7,2,1.17
1770009766.2012184,42.31833666666667,-71.05762833333333,26.7,2,1.17
1770009767.212619,42.31833666666667,-71.05762833333333,26.7,2,1.17
1770009768.2128656,42.318335,-71.05762666666666,26.7,2,1.17
1770009769.2029874,42.318335,-71.05762833333333,26.7,2,1.17
1770009770.2074647,42.318335,-71.05762833333333,26.7,2,1.17
1770009771.2086835,42.31833333333334,-71.05762666666666,26.7,2,1.17
1770009772.2076464,42.31833333333334,-71.05762666666666,26.7,2,1.17
1770009773.2079744,42.318335,-71.05762333333334,26.7,2,1.17
1770009774.2083201,42.318340000000006,-71.05762333333334,26.7,2,1.17
1770009775.2082367,42.318335,-71.05762333333334,26.7,2,1.17
1770009776.2133565,42.318340000000006,-71.05762333333334,26.7,2,1.17
1770009777.209684,42.31834333333333,-71.057625,26.7,2,1.17
1770009778.2063704,42.318345,-71.05762833333333,26.6,2,1.17
1770009779.201061,42.318345,-71.05762833333333,26.6,2,1.17
1770009780.2062285,42.31834166666666,-71.05763,26.6,2,1.17
1770009781.2026844,42.318340000000006,-71.05763,26.6,2,1.17
1770009782.2019517,42.31834166666666,-71.05762666666666,26.6,2,1.17
1770009783.2044177,42.318340000000006,-71.05763,26.6,2,1.17
1770009784.20646,42.31834166666666,-71.05762833333333,26.6,2,1.17
1770009785.2073262,42.31834166666666,-71.05762666666666,26.6,2,1.17
1770009786.2015061,42.31834166666666,-71.057625,26.6,2,1.17
1770009787.208366,42.31834166666666,-71.057625,26.6,2,1.17
1770009788.2013688,42.31834333333333,-71.05762333333334,26.6,2,1.17
1770009789.2085679,42.31834333333333,-71.05762333333334,26.6,2,1.17
1770009790.2067044,42.318345,-71.05762166666666,26.6,2,1.17
